"","d","UCL..95..","Z","Pr...d"
"EF43:EF81",0.0370619174872974,0.0452998391338683,0.429053873303877,0.34
"EF43:EF96",0.0543736939420204,0.0643164689148854,0.817505788684131,0.213
"EF43:ZI192",0.0381494595480617,0.0398459507685376,1.18449909444092,0.115
"EF43:ZI251",0.0311265529980729,0.0523557241629014,-1.53322602166185,0.939
"EF43:ZI418",0.0336777889679306,0.0469028504381028,-0.931092612147192,0.816
"EF81:EF96",0.0628785155407666,0.0770348539565629,0.680653230390139,0.247
"EF81:ZI192",0.0364487384080617,0.0399651726005457,1.05422238462406,0.149
"EF81:ZI251",0.0273670356681303,0.0483408662365275,-1.32812834946352,0.894
"EF81:ZI418",0.0399726147310085,0.0468770960547809,0.582710760562727,0.271
"EF96:ZI192",0.0411459578193823,0.0627795536008568,-0.257984172171985,0.599
"EF96:ZI251",0.0544364261541641,0.0704065697872484,0.580595892996566,0.288
"EF96:ZI418",0.0417593730932972,0.0650856753359999,-0.47134296846486,0.681
"ZI192:ZI251",0.0296052787981788,0.0249399492529772,2.37247721771667,0.003
"ZI192:ZI418",0.0231704098934569,0.0204779512406843,2.30404386135293,0.01
"ZI251:ZI418",0.0334984154367265,0.0279301373945471,2.49726031100034,0.004
