chrom,start,end,snps,1.2,1.3,1.4,2.3,2.4,3.4
2L,1,5000,4,0.0381105,-0.0132565,-0.0407876,-0.0279949,0.0468239,0.0122077
2L,5001,10000,319,0.0146431,-0.00248158,-0.00812704,0.000513572,0.0384784,0.00947597
2L,10001,15000,341,0.00362997,-0.0101402,-0.0068548,9.39857e-05,0.0280512,-0.00390132
2L,15001,20000,353,0.00583276,-0.000653576,-0.010233,-0.00145423,0.00997452,-0.00238205
2L,20001,25000,306,0.00558257,-0.00519509,-0.0116203,-0.000257087,-0.00122671,-0.0101255
2L,25001,30000,331,0.000633767,-0.00855715,-0.00542368,0.00539241,0.0278789,-0.00774788
2L,30001,35000,403,-0.00202104,-0.00858022,-0.00879496,-0.00629199,0.0160976,-0.000277351
2L,35001,40000,396,0.00651141,-0.0101812,-0.00638358,0.00755474,0.031856,-0.00781206
2L,40001,45000,349,0.0122872,-0.00916853,-0.00336852,0.00404944,0.047087,0.00314759
2L,45001,50000,178,-0.00420219,-0.00157019,-0.0107144,-0.000616236,-0.0012408,0.000268332
2L,50001,55000,170,-0.00990224,-0.00518204,-0.00992749,-0.00484689,-0.0102273,-0.00526961
2L,55001,60000,353,0.0128786,-0.00836318,-0.0031928,-0.00169658,0.0492909,0.00481776
2L,60001,65000,312,0.0226172,0.0131653,-0.00801454,-0.000598657,0.0302114,0.010258
2L,65001,70000,338,0.009318,-0.00957956,-0.0080676,0.0132676,0.0274146,-0.00398099
2L,70001,75000,370,0.0040134,-0.00586385,-0.00739826,-0.00157758,0.026264,0.00387077
2L,75001,80000,373,0.00854183,-0.00839877,-0.00881648,0.00131215,0.0279957,-0.00358679
2L,80001,85000,351,0.019526,-0.0104417,-0.00639048,0.0108499,0.0466896,-0.0012995
2L,85001,90000,394,0.00292833,-0.0032273,-0.00888701,-0.00451955,0.0101138,-0.00266736
2L,90001,95000,361,0.00466463,0.000898768,-0.00679991,0.00632155,0.0215302,-0.00457264
2L,95001,100000,340,-0.00333469,-0.00506613,-0.0113589,0.00443569,0.00450613,-0.00495159
2L,100001,105000,408,0.00843884,-0.00349121,-0.010173,-0.00590368,0.0198989,0.00144506
2L,105001,110000,395,0.0178308,0.00460622,-0.00599659,-0.0111992,0.0342084,0.0155993
